id,uid,title,score,date,content,,
,,Unbelievable experience,5,,"Would highly recommend a visit to Gardens By The Bay - an outstanding attraction, easy to get to by MRT.
Even if it鈥檚 raining the gardens you can stay dry by visiting the dome gardens.
If you travel on Singapore Airlines and show your boarding pass you get a discount at this attraction",,
,,Good for tourists,4,,Brought a Friend to gardens by the Bay to see the nightly light show. A great way to showcase something unique in Singapore and explore the Bay Area for dinner and walks.,,
,,Go for the foc lightings/musical Rhapsody show at night,5,,"It was great although this was the 4th or 5th time there. Place was crowded with tourists but it doesn鈥檛 affect us. There are 2 sessions every day, 7:45pm and 8:45pm. Check the website for latest info.
When the show was about to start锛寃e found another spot on the grass and just lay down- 1st time experience watching the show while laying down was amazing and relaxing (as the best seats and spots were already taken by the big crowd).
The place is pleasant to walk around. You can easily spent hours here. But as there are oldies with us and they get tired, we just head home right after the show.

I will probably bring a picnic mat during Our next visit and just lay on the mat enjoying the music and show.",,
,,Must Experience,4,,The Gardens by the Bay is a glorious place. Crowded but that was expected. The night light show was wonderful. Don't forget the bug spray.,,
,,Review,5,,"Excellent experience. Photogenic location, worth spending complete noon and after that the laser show..",,
,,Beautiful,4,,Better at night ... still one of the best places I visited in singapore ... although after the visit we had to wait for 25 minutes to find a taxi,,
,,Domes and Satay by the Bay,5,,"Went twice to Cloud Forest and Flower Dome. Cloud Forrest is impressive at any time and better enjoyed during the week when crowds are lower (picture taking can be excessive and hold up the walkways). Flower dome is more subtle, slow down to really enjoy. Special exhibit flowers change frequently making repeat visits worthwhile if flowers are your thing. Got caught in the rain at Satay by the Bay, which turned into a highlight. Great Satay (better than Lau Pa Sat even) and best green curry I鈥檝e ever tasted. We then hung out at the bar with Tigers to wait out the rain while viewing the floating hippos in the water garden and cooled by the huge fans under the pavilion.",,
,,Stunning gardens,5,,"Peaceful and wonderful gardens to stroll through before or after your visit to the iconic green houses of Cloud Forest. Simply magnificent gardens, with their famous elevated structures.",,
,,If you do nothing else...,5,,"This is a fantastic experience. We did the flowers and the cloud garden as well as the outdoor sky bridge. We spent hours looking at all of the plants - they have really done a magnificent job pulling together species from around the world. Highly recommend this for anyone who's interested in plants even a tiny bit.

One suggestion to the team curating Gardens by the Bay is that we really would have appreciated more labels for the different, exotic flower species. Also, just note that there are loads of rude tourists stopping traffic to take family photos like this is Olan Mills. Ugh. But that's not really a reflection on the place - enjoy your time there!",,
,,"Nice waterpark, but bad food",4,,"We visited Gardens by the Bay with our two kids (3 and 5 years old). The highlight was the water park. It was great! There was also a nice playground close by.
The selection of food was rather poor (only fast food), so be sure to bring your own snack and lots of water.
We visited in late december so the experience in the Flower Dome was ruined due too very tacky Disney Christmas Decorations. We wanted to see all the flowers and such, not Disney characters. On the other hand, the Cloud Forest was a really cool experience and well worth a visit.",,
,,Beautiful,5,,A beautiful afternoon spent at Gardens by the bay. Lovely tour around on the trolley and stayed for the lights on the evening.,,
,,Wonderful thing to do if your in Singapore,5,,It was lovely to visit the gardens and the flower dome which is air conditioned and a great way to escape the heat. The gardens are beautiful and inspiring with many sculptures incorporated into the gardens. Loved it!,,
,,A must-do.,5,,Simply spectacular & something you can't miss in Singapore. Even the kids had a great few hours exploring.,,
,,Go!,5,,Wow! Where to begin? The world's largest greenhouse. This is an amazing place. You have to see it and experience it first-hand to believe it. Words alone are very nearly inadequate to say just how truly wonderful this place is! Plants from six of the seven continents. A multi-story man-made cloud forest mountain simulation. First-class. Top notch! Superb! Extraordinary!,,
,,Beautiful Gardens,4,,These beautiful internal gardens cover each section of the world. Be prepared it was much cooler inside than outside. An amazing feat.,,
,,Fantastic experience,5,,"Fantastic experience and really worth a visit for half day, in pure contact with the nature. My compliment to people of Singapore to this great tribute to the mother nature.",,
